,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
66569,Haryana,FATEHABAD,2001,Kharif     ,Moong(Green Gram),1063.0,300.0,0.28222013170272814
66571,Haryana,FATEHABAD,2001,Kharif     ,Rice,58359.0,175000.0,2.99868058054456
66572,Haryana,FATEHABAD,2001,Kharif     ,Sesamum,126.0,100.0,0.7936507936507936
66573,Haryana,FATEHABAD,2001,Rabi       ,Barley,3105.0,10000.0,3.2206119162640903
66574,Haryana,FATEHABAD,2001,Rabi       ,Gram,2686.0,3000.0,1.1169024571854058
66575,Haryana,FATEHABAD,2001,Rabi       ,Masoor,28.0,100.0,3.5714285714285716
66577,Haryana,FATEHABAD,2001,Rabi       ,Rapeseed &Mustard,16932.0,24000.0,1.4174344436569808
66578,Haryana,FATEHABAD,2001,Rabi       ,Wheat,171860.0,731000.0,4.253462120330502
66579,Haryana,FATEHABAD,2001,Whole Year ,Dry chillies,122.0,200.0,1.639344262295082
66583,Haryana,FATEHABAD,2002,Kharif     ,Bajra,12923.0,14000.0,1.0833397817844155
66584,Haryana,FATEHABAD,2002,Kharif     ,Cotton(lint),80297.0,170000.0,2.11714011731447
66586,Haryana,FATEHABAD,2002,Kharif     ,Moong(Green Gram),1324.0,400.0,0.3021148036253776
66588,Haryana,FATEHABAD,2002,Kharif     ,Rice,66915.0,202000.0,3.0187551371142494
66589,Haryana,FATEHABAD,2002,Kharif     ,Sesamum,854.0,500.0,0.585480093676815
66590,Haryana,FATEHABAD,2002,Rabi       ,Barley,2895.0,8000.0,2.763385146804836
66591,Haryana,FATEHABAD,2002,Rabi       ,Gram,1639.0,2000.0,1.2202562538133008
66594,Haryana,FATEHABAD,2002,Rabi       ,Rapeseed &Mustard,19643.0,21000.0,1.069083133940844
66595,Haryana,FATEHABAD,2002,Rabi       ,Wheat,172055.0,715000.0,4.15564790328674
66603,Haryana,FATEHABAD,2003,Kharif     ,Bajra,14640.0,18000.0,1.2295081967213115
66604,Haryana,FATEHABAD,2003,Kharif     ,Cotton(lint),87142.0,268000.0,3.075440086295931
66605,Haryana,FATEHABAD,2003,Kharif     ,Groundnut,83.0,100.0,1.2048192771084338
66607,Haryana,FATEHABAD,2003,Kharif     ,Moong(Green Gram),651.0,100.0,0.15360983102918588
66609,Haryana,FATEHABAD,2003,Kharif     ,Rice,65108.0,218000.0,3.348282853105609
66610,Haryana,FATEHABAD,2003,Kharif     ,Sesamum,165.0,100.0,0.6060606060606061
66611,Haryana,FATEHABAD,2003,Rabi       ,Barley,1822.0,6000.0,3.293084522502744
66612,Haryana,FATEHABAD,2003,Rabi       ,Gram,2673.0,3000.0,1.122334455667789
66614,Haryana,FATEHABAD,2003,Rabi       ,Peas & beans (Pulses),29.0,100.0,3.4482758620689653
